,,epoch,train_accuracy,val_accuracy,train_loss,val_loss,mode_size,infer_time
0,,0,0.221485895,0.239257813,2.089308739,3.995187044,23753912,0.029689944
1,,1,0.405277237,0.379882813,2.656274796,1.4398911,23753912,0.030000412
2,,2,0.488995623,0.467285156,1.817604303,2.146972656,23753912,0.029972804
3,,3,0.549854086,0.490722656,1.568993092,1.509842992,23753912,0.029985251
4,,4,0.590041342,0.450195313,1.2476753,2.009455919,23753912,0.029988544
5,,5,0.62603356,0.541992188,1.200039744,1.474107623,23753912,0.029982977
6,,6,0.65339251,0.485839844,1.325788021,1.494254708,23753912,0.029989874
7,,7,0.67552286,0.548339844,0.954548895,1.068347454,23753912,0.029992838
8,,8,0.704888132,0.57421875,1.340162992,1.494711637,23753912,0.02996557
9,,9,0.711211089,0.577636719,0.919964015,1.841951728,23753912,0.029994352
10,,10,0.733219844,0.58203125,0.962192535,0.913461328,23753912,0.02999722
11,,11,0.749513619,0.575683594,0.599093854,1.280453801,23753912,0.029989398
12,,12,0.76094358,0.611816406,0.795398712,0.953045487,23753912,0.029970801
13,,13,0.765807393,0.58203125,1.293882489,0.845007658,23753912,0.0299593
14,,14,0.79766537,0.604003906,0.595318496,1.447386146,23753912,0.029967816
15,,15,0.795294261,0.620117188,0.46521771,0.979434192,23753912,0.029975252
16,,16,0.808000973,0.606445313,0.830099165,1.733947039,23753912,0.029980061
17,,17,0.817850195,0.620605469,0.630943239,0.606819212,23753912,0.02999373
18,,18,0.823078794,0.608398438,0.765362561,1.476838112,23753912,0.029977691
19,,19,0.838582198,0.612792969,0.734981477,1.204784274,23753912,0.029964275
20,,20,0.848553016,0.585449219,0.3807455,1.054470539,23753912,0.029994206
21,,21,0.845634728,0.625,0.230803445,0.973248839,23753912,0.029977424
22,,22,0.86588035,0.634765625,1.055495262,1.271596193,23753912,0.029980807
23,,23,0.862050097,0.602539063,0.24664335,2.082369089,23753912,0.029972894
24,,24,0.869771401,0.586914063,0.345136285,1.232741117,23753912,0.029977443
25,,25,0.874756809,0.6328125,0.236618638,0.901166439,23753912,0.02996974
26,,26,0.887585117,0.594726563,0.392917842,1.853998542,23753912,0.029985688
27,,27,0.881930934,0.598632813,0.350887924,1.496631145,23753912,0.029985583
28,,28,0.889773833,0.615722656,0.277593702,1.389914274,23753912,0.030003407
29,,29,0.897616732,0.642578125,0.485017836,1.317893386,23753912,0.029972184
30,,30,0.901994163,0.665039063,0.257687241,2.032771349,23753912,0.029964771
31,,31,0.904365272,0.64453125,0.132364884,1.587300062,23753912,0.029983807
32,,32,0.910505837,0.640136719,0.319282025,2.110767603,23753912,0.029985063
33,,33,0.903574903,0.592773438,0.268303156,1.321931005,23753912,0.029981091
34,,34,0.91354572,0.581054688,0.679268122,1.911231041,23753912,0.029926081
35,,35,0.911843385,0.627929688,0.183330253,1.267862201,23753912,0.029980946
36,,36,0.922239786,0.617675781,0.055715237,1.070641994,23753912,0.029970393
37,,37,0.921206226,0.666503906,0.225169942,1.56780684,23753912,0.029970436
38,,38,0.921510214,0.599121094,0.650756657,1.269231677,23753912,0.029994783
39,,39,0.922786965,0.635253906,0.211686105,1.507991791,23753912,0.029983277
40,,40,0.932514591,0.643554688,0.388190478,2.540081739,23753912,0.029941814
